Country,Region,GDP Contribution,Literacy Rate,Purchasing Power Value,Purchasing Power Category,Safety Value,Safety Category,Health Care Value,Health Care Category,Climate Value,Climate Category,GDP,Cost of Living Value,Cost of Living Category,Property Price to Income Value,Property Price to Income Category,Traffic Commute Time Value,Traffic Commute Time Category,Pollution Value,Pollution Category,Quality of Life Value,Quality of Life Category
Romania,East,0.30%,98.76%,73.36,'Moderate',67.82,'High',56.51,'Moderate',77,'High',4.15%,34.66,'Very Low',10.16,'Moderate',33.36,'Low',58.61,'Moderate',': 142.14','Moderate'
Russia,North,2.23%,99.72%,55.66,'Low',61.3,'High',61.41,'High',43.6,'Moderate',2.25%,25.25,'Very Low',14.84,'High',43.35,'High',59.13,'Moderate',': 113.56','Low'
Rwanda,Central,0.01%,71.24%,20.5,'Very Low',72.81,'High',72.87,'High',99.74,'Very High',8.80%,37.05,'Very Low',446.83,'Very High',15.67,'Very Low',39.22,'Low',': 0.00','Very Low'
Saint Kitts And Nevis,West,0.00%,97.80%,0,None,59.98,'Moderate',50,'Moderate',0,None,3.50%,0,None,20.27,'Very High',15,'Very Low',36.21,'Low',0,None
Saint Lucia,West,0.00%,90.10%,0,None,39.08,'Low',49.9,'Moderate',0,None,3.65%,0,None,0.85,'Very Low',7,'Very Low',46.22,'Moderate',0,None
Samoa,Southeast,0.00%,99.02%,0,None,57.94,'Moderate',55.56,'Moderate',0,None,1.67%,0,None,205.03,'Very High',0,None,39.94,'Low',0,None
San Marino,South,0,96.00%,0,None,80.65,'Very High',83.33,'Very High',0,None,5.37%,0,None,5.34,'Low',10,'Very Low',15.36,'Very Low',0,None
Sao Tome And Principe,Central,0.00%,91.75%,0,None,82.56,'Very High',86.11,'Very High',0,None,-4.06%,0,None,0,None,0,None,68.97,'High',0,None
Saudi Arabia,Central,1.10%,94.84%,147.37,'Very High',76.23,'High',61.71,'High',45.98,'Moderate',2.04%,42.06,'Low',3.09,'Very Low',29.87,'Low',62.46,'High',': 173.20','Very High'
Senegal,West,0.03%,55.62%,21.72,'Very Low',49.82,'Moderate',48.38,'Moderate',0,None,2.56%,40.61,'Low',24.07,'Very High',25,'Very Low',95.87,'Very High',0,None
Serbia,East,0.06%,98.00%,58.05,'Low',62.75,'High',51.96,'Moderate',83.23,'Very High',5.45%,36.18,'Very Low',16.78,'Very High',30.72,'Low',65.62,'High',': 123.62','Moderate'
Seychelles,South,0.00%,95.32%,34.19,'Very Low',55.01,'Moderate',63.19,'High',0,None,-7.82%,59.88,'Low',4.66,'Very Low',29.33,'Low',36.71,'Low',0,None
Sierra Leone,West,0.00%,48.43%,0,None,42.9,'Moderate',31.25,'Low',0,None,4.95%,0,None,3.23,'Very Low',0,None,106.03,'Very High',0,None
Singapore,Southeast,0.46%,96.77%,108.8,'High',72.48,'High',71.9,'High',57.45,'Moderate',3.93%,79.72,'High',20.4,'Very High',40.87,'Moderate',32.61,'Low',': 157.13','High'
Slovakia,Central,0.11%,99.60%,75.25,'Moderate',69.2,'High',58.6,'Moderate',80.72,'Very High',-0.95%,43.24,'Low',14.2,'High',27.41,'Low',37.3,'Low',': 157.96','High'
Slovenia,East,0.06%,99.71%,85.89,'High',76.17,'High',66.26,'High',76.11,'High',1.89%,47.58,'Low',13.09,'High',25.39,'Very Low',22.25,'Low',': 178.94','Very High'
Solomon Islands,Southeast,0.00%,84.10%,10.77,'Very Low',36.13,'Low',45.14,'Moderate',0,None,2.64%,101.05,'Very High',"'1,004.18'",'Very High',36.67,'Moderate',79.55,'High',0,None
Somalia,East,0,37.80%,28.41,'Very Low',35.86,'Low',40.49,'Moderate',0,None,2.06%,40.56,'Low',360.1,'Very High',29,'Low',63.41,'High',0,None
South Africa,South,0.40%,94.60%,123.08,'Very High',25.36,'Low',63.83,'High',95.25,'Very High',8.00%,31.3,'Very Low',3.21,'Very Low',38.61,'Moderate',56.56,'Moderate',': 155.84','High'
South Korea,East,1.66%,97.97%,107.47,'High',75.36,'High',82.78,'Very High',68.39,'High',4.56%,59.94,'Low',21.06,'Very High',40.32,'Moderate',60.93,'High',': 148.74','High'
South Sudan,Central,0,31.98%,0,None,18.57,'Very Low',23.61,'Low',0,None,2.59%,0,None,2.08,'Very Low',0,'Very Low',56.47,'Moderate',0,None
Spain,South,1.39%,98.11%,101.41,'High',63.51,'High',77.26,'High',94.04,'Very High',-17.49%,44.41,'Low',8.28,'Moderate',26.76,'Very Low',35.7,'Low',': 184.67','Very High'
Sri Lanka,South,0.07%,92.61%,17.98,'Very Low',57.9,'Moderate',71.36,'High',59.11,'Moderate',5.81%,33.96,'Very Low',39.94,'Very High',54.52,'High',57.94,'Moderate',': 75.17','Very Low'
Sudan,Central,0.05%,58.60%,0,None,54.5,'Moderate',46.78,'Moderate',0,None,2.48%,0,None,24.64,'Very High',38.33,'Moderate',67.55,'High',0,None
Suriname,South,0.00%,95.54%,19.73,'Very Low',47.12,'Moderate',42.62,'Moderate',0,None,2.52%,39.75,'Very Low',3.18,'Very Low',28.88,'Low',51.15,'Moderate',0,None
Sweden,North,0.58%,99.00%,134.51,'Very High',51.74,'Moderate',68.43,'High',76.49,'High',5.57%,54.84,'Low',7.45,'Low',28.72,'Low',17.66,'Very Low',': 193.48','Very High'
Switzerland,Central,0.80%,99.00%,165.31,'Very High',73.69,'High',71.5,'High',79.24,'High',0.68%,101.18,'Very High',10.94,'Moderate',33.28,'Low',23.06,'Low',': 204.91','Very High'
Syria,Central,0,86.30%,5.22,'Very Low',31.5,'Low',37.11,'Low',0,None,4.65%,23.8,'Very Low',118.65,'Very High',34.9,'Low',74.88,'High',0,None
Taiwan,East,0,96.10%,101.65,'High',82.89,'Very High',86.5,'Very High',84.38,'Very High',-29.10%,44.79,'Low',20.89,'Very High',32.81,'Low',64.31,'High',': 160.18','Very High'
Tajikistan,Central,0.01%,99.78%,23.92,'Very Low',55.6,'Moderate',61.9,'High',0,None,7.41%,24.6,'Very Low',16.11,'Very High',27,'Low',54.02,'Moderate',0,None
Tanzania,East,0.08%,80.36%,23.52,'Very Low',46.46,'Moderate',42.14,'Moderate',71.28,'High',4.10%,25.31,'Very Low',134.04,'Very High',27.79,'Low',62.48,'High',': 0.00','Very Low'
Thailand,Southeast,0.49%,93.98%,46.07,'Low',62.49,'High',77.36,'High',69.76,'High',2.06%,33.88,'Very Low',25.31,'Very High',38.71,'Moderate',75.65,'High',': 105.37','Low'
Timor-Leste,Southeast,0.00%,0.00%,259.09,'Very High',57.93,'Moderate',52.69,'Moderate',0,None,4.92%,45.57,'Low',4.13,'Very Low',25,'Very Low',60.35,'High',0,None
Togo,West,0.01%,66.54%,50.92,'Low',54.84,'Moderate',54.17,'Moderate',0,None,5.67%,31.91,'Very Low',7.42,'Low',7,'Very Low',82.5,'Very High',0,None
Tonga,Southeast,0,99.40%,0,None,39.02,'Low',62.27,'High',0,None,1.85%,50.8,'Low',2.44,'Very Low',0,None,0,None,0,None
Trinidad And Tobago,West,0.03%,98.97%,45.35,'Low',29.01,'Low',54.09,'Moderate',67.55,'High',8.02%,49.01,'Low',14.18,'High',56.88,'Very High',67.14,'High',': 84.52','Very Low'
Tunisia,North,0.05%,81.05%,33.55,'Very Low',55.23,'Moderate',57.17,'Moderate',93.24,'Very High',4.74%,25.71,'Very Low',13.06,'High',34.39,'Low',70.08,'High',': 115.44','Low'
Turkey,Central,0.90%,95.69%,52.08,'Low',58.74,'Moderate',71.22,'High',93.26,'Very High',3.40%,35.37,'Very Low',11.05,'Moderate',43.81,'High',64.29,'High',': 130.42','Moderate'
Turkmenistan,Central,0,99.69%,0,None,51.24,'Moderate',49.83,'Moderate',0,None,,0,None,25.99,'Very High',17.29,'Very Low',38.15,'Low',0,None
Tuvalu,Southeast,0.00%,0.00%,0,None,81.52,'Very High',100,'Very High',0,None,,0,None,0.55,'Very Low',0,'Very Low',0,'Very Low',0,None
Uganda,East,0.05%,73.81%,10.33,'Very Low',45.88,'Moderate',50.05,'Moderate',98.41,'Very High',,47.97,'Low',"'1,075.92'",'Very High',44.5,'High',84.05,'Very High',': 0.00','Very Low'
Ukraine,East,0.16%,99.76%,47.67,'Low',53.13,'Moderate',55.74,'Moderate',70.69,'High',,24.38,'Very Low',13.88,'High',37.92,'Moderate',62.16,'High',': 114.78','Low'
UAE,Central,0.50%,92.99%,132.31,'Very High',84.43,'Very High',70.63,'High',45.84,'Moderate',,53.8,'Low',6.77,'Low',35.77,'Moderate',47.98,'Moderate',': 176.65','Very High'
UK,West,3.05%,99.00%,125.05,'Very High',51.88,'Moderate',72.92,'High',87.41,'Very High',,59.67,'Low',8.75,'Moderate',34.74,'Low',40.47,'Moderate',': 175.20','Very High'
US,North,25.32%,99.00%,153.02,'Very High',50.74,'Moderate',67.86,'High',79.14,'High',,65.69,'Moderate',3.54,'Very Low',32.91,'Low',36.61,'Low',': 189.14','Very High'
Uruguay,South,0.07%,98.44%,57.92,'Low',48.2,'Moderate',68.57,'High',98.04,'Very High',,47.39,'Low',12.28,'High',39.52,'Moderate',43.49,'Moderate',': 141.60','Moderate'
Uzbekistan,Central,0.08%,100.00%,44.66,'Low',71.97,'High',61.82,'High',69.79,'High',,24.4,'Very Low',13.08,'High',34.3,'Low',53.07,'Moderate',': 133.78','Moderate'
Vanuatu,Southeast,0.00%,85.06%,0,None,58.35,'Moderate',40.51,'Moderate',0,None,,0,None,29.88,'Very High',15,'Very Low',40.14,'Moderate',0,None
Vatican City,South,0,0.00%,0,None,46.18,'Moderate',100,'Very High',0,None,,0,None,0,None,0,None,46.32,'Moderate',0,None
Venezuela,South,0.00%,95.40%,15.11,'Very Low',19.26,'Very Low',38.69,'Low',0,None,,35.85,'Very Low',17.49,'Very High',32.8,'Low',75.3,'High',0,None
Vietnam,Southeast,0.41%,94.51%,44.49,'Low',59,'Moderate',61.32,'High',71.24,'High',,26.85,'Very Low',24.77,'Very High',29.62,'Low',84.19,'Very High',': 97.18','Very Low'
Yemen,Central,0,69.96%,20.74,'Very Low',34.07,'Low',25.31,'Low',0,None,,48.66,'Low',15.98,'High',15,'Very Low',83.17,'Very High',0,None
Zambia,Central,0.03%,85.12%,22.32,'Very Low',54.39,'Moderate',54.44,'Moderate',0,None,,36.74,'Very Low',72.42,'Very High',38.86,'Moderate',80.9,'Very High',0,None
Zimbabwe,South,0.02%,86.87%,28.76,'Very Low',39.31,'Low',44.8,'Moderate',96.76,'Very High',,35.36,'Very Low',17.35,'Very High',27.79,'Low',78.53,'High',': 94.20','Very Low'
